Type,Text,C3,C4,C5
ham,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? ",,,
ham,What Today-sunday..sunday is holiday..so no work..,,,
ham,WHORE YOU ARE UNBELIEVABLE.,,,
spam,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just �5 by replying GET BBDELUXE and take the challenge,,,
ham,Wife.how she knew the time of murder exactly,,,
ham,"Yes, princess. Toledo.",,,
ham,TELL HER I SAID EAT SHIT.,,,
ham,Was playng 9 doors game and gt racing on phone lol,,,
ham,No break time one... How... I come out n get my stuff fr �_?,,,
spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,,,
ham,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.,,,
ham,"GOD ASKED, \What is forgiveness?\"" A little child gave lovely reply"," \""It is d wonderful fruit that a tree gives when it is being hurt by a stone.. Good night......""",,
ham,I can do that! I want to please you both inside and outside the bedroom...,,,
ham,No problem. How are you doing?,,,
ham,Ok... Let u noe when i leave my house.,,,
ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",,,
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,,,
ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,,,
ham,I will come to ur home now,,,
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",,,
ham,Sry da..jst nw only i came to home..,,,
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",,,
ham,K..i deleted my contact that why?,,,
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",,,
ham,Are you this much buzy,,,
ham,Haha i think i did too,,,
ham,Aight well keep me informed,,,
ham,It's ok i wun b angry. Msg u aft i come home tonight.,,,
ham,Prakesh is there know.,,,
ham,How much did ur hdd casing cost.,,,
ham,I'm home...,,,
ham,Im just wondering what your doing right now?,,,
ham,Ok. Very good. Its all about making that money.,,,
ham,So the sun is anti sleep medicine.,,,
ham,I have a rather prominent bite mark on my right cheek,,,
ham,From 5 to 2 only my work timing.,,,
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,,,
ham,Id onluy matters when getting on from offcampus,,,
ham,"Happy or sad , one thing about past is- \Its no more\"" GOOD MORNING :-):-).""",,,
ham,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning",,,
ham,If you are not coughing then its nothing,,,
ham,Lolnice. I went from a fish to ..water.?,,,
ham,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!,,,
ham,U guys never invite me anywhere :(,,,
ham,Aight sorry I take ten years to shower. What's the plan?,,,
ham,Where r e meeting tmr?,,,
ham,Ok. There may be a free gym about.,,,
spam,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,,,
ham,Small problem in auction:)punj now asking tiwary,,,
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",,,
ham,Ill call you evening ill some ideas.,,,
ham,I'm putting it on now. It should be ready for  &lt;TIME&gt; ,,,
ham,I dont know ask to my brother. Nothing problem some thing that. Just i told .,,,
ham,I want snow. It's just freezing and windy.,,,
ham,"Evry Emotion dsn't hav Words.Evry Wish dsn't hav Prayrs.. If u Smile,D World is wit u.Othrwise even d Drop of Tear dsn't lik 2 Stay wit u.So b happy.. Good morning, keep smiling:-)",,,
spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play �250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",,,
ham,Really do hope the work doesnt get stressful. Have a gr8 day.,,,
ham,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,,,
ham,"I keep seeing weird shit and bein all \woah\"" then realising it's actually reasonable and I'm all \""oh\""""",,,
ham,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.,,,
ham,If I die I want u to have all my stuffs.,,,
ham,Where at were hungry too,,,
ham,Carlos says we can pick up from him later so yeah we're set,,,
ham,Fine. Do you remember me.,,,
ham,Ya it came a while ago,,,
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,
ham,I thought slide is enough.,,,
ham,"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!",,,
ham, what number do u live at? Is it 11?,,,
ham,&lt;#&gt;  w jetton ave if you forgot,,,
ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.,,,
ham,�� comin to fetch us oredi...,,,
spam,"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p ",,,
ham,Wat r u doing now?,,,
ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,,,
ham,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,,,
ham,Lol they don't know about my awesome phone. I could click delete right now if I want.,,,
ham,"I'm a guy, browsin is compulsory",,,
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",,,
spam,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,,,
ham,You bad girl. I can still remember them,,,
ham,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.,,,
ham,... Are you in the pub?,,,
ham,Sitting ard nothing to do lor. U leh busy w work?,,,
ham,Wat's da model num of ur phone?,,,
ham,Lol alright i was thinkin that too haha,,,
ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,,,
ham,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...,,,
ham,Hey happy birthday...,,,
ham,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?,,,
ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8""",,,
ham,Where r we meeting?,,,
ham,Hi msg me:)i'm in office..,,,
ham,Arun can u transfr me d amt,,,
ham,�� no home work to do meh... ,,,
ham,Bbq this sat at mine from 6ish. Ur welcome 2 come,,,
ham,I've sent �_ my part..,,,
ham,Hi dis is yijue i would be happy to work wif �_ all for gek1510...,,,
ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,,,
ham,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",,,
ham,Can not use foreign stamps in this country. Good lecture .,,,
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,,,
ham,Hey! There's veggie pizza... :/,,,
ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",,,
ham,I am in hospital da. . I will return home in evening,,,
ham,Ok... The theory test? when are �_ going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free,,,
ham,"I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too",,,
spam,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX �1.50,,,
ham,"Hey babe, my friend had to cancel, still up for a visit ?",,,
ham,"Well, I was about to give up cos they all said no they didn���t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?",,,
ham,Great comedy..cant stop laughing da:),,,
